ID_Ativo,Frequencia_Falhas,Tempo_Operacao,Numero_Clientes_Afetados,Tipo_Ativo,Localidade,Historico_Manutencao,Impacto_DEC_FEC,Data_Evento,Ano,Criticidade
A-0001,0.5,0.3697478991596639,0.1578947368421052,Cabo,Zona Norte,Não,0.5458579881656804,2009-01-20,2009,0.39708911593288826
A-0002,0.125,0.5861344537815127,1.0,Transformador,Centro,Não,0.2195688926458157,2015-04-23,2015,0.4477972253990354
A-0003,0.375,0.180672268907563,0.1578947368421052,Cabo,Centro,Sim,0.4139898562975486,2022-07-17,2022,0.2771796136704448
A-0004,0.375,0.0966386554621848,1.0,Isolador,Zona Norte,Não,0.5209213863060017,2024-07-12,2024,0.43108373526925564
A-0005,0.125,0.4012605042016807,0.1578947368421052,Seccionalizador,Zona Norte,Não,0.1899830938292476,2010-11-02,2010,0.22095540801185
A-0006,0.25,0.0357142857142857,0.0526315789473684,Seccionalizador,Centro,Não,0.2407016060862214,2024-07-09,2024,0.14531076211238153
A-0007,0.125,0.0924369747899159,0.4736842105263157,Transformador,Centro,Não,0.2077345731191885,2023-04-19,2023,0.19324139185415676
A-0008,0.125,0.1512605042016807,0.1578947368421052,Seccionalizador,Zona Norte,Não,0.1770921386306001,2021-01-28,2021,0.14466631249198525
A-0009,0.25,0.5504201680672269,0.4736842105263157,Cabo,Zona Norte,Não,0.3518596787827556,2002-12-11,2002,0.3950488604037068
A-0010,0.25,0.0966386554621848,1.0,Transformador,Centro,Não,0.3757396449704141,2021-11-22,2021,0.3665655611356969
A-0011,0.125,0.2542016806722689,0.0,Isolador,Centro,Sim,0.0864327979712595,2018-08-28,2018,0.13490378399880662
A-0012,0.0,0.1512605042016807,0.0,Transformador,Zona Oeste,Sim,0.0388841927303465,2018-03-06,2018,0.049266570533538855
A-0013,0.5,0.0546218487394958,0.4736842105263157,Transformador,Zona Norte,Sim,0.5281065088757396,2024-03-25,2024,0.36393404761468584
A-0014,0.25,0.2521008403361345,0.0526315789473684,Religador,Zona Sul,Sim,0.2047759932375316,2015-09-13,2015,0.2066341672140672
A-0015,0.125,0.134453781512605,0.0526315789473684,Religador,Zona Norte,Não,0.1599746407438715,2019-09-11,2019,0.11685991431764232
A-0016,0.375,0.1092436974789916,0.0,Transformador,Centro,Sim,0.3404480135249366,2023-01-23,2023,0.21681791059619115
A-0017,0.25,0.0462184873949579,0.0,Seccionalizador,Zona Norte,Sim,0.1777261200338123,2023-10-25,2023,0.1316381582218686
A-0018,0.75,0.180672268907563,0.4736842105263157,Religador,Zona Norte,Não,0.8349535080304312,2023-05-29,2023,0.5324338735805753
A-0019,0.125,0.4663865546218488,0.0526315789473684,Isolador,Zona Oeste,Não,0.1927303465765004,2009-01-22,2009,0.21971531683367834
A-0020,0.125,0.1008403361344537,0.1578947368421052,Cabo,Zona Sul,Não,0.1969568892645815,2022-08-30,2022,0.1315267371352153
A-0021,0.25,0.0588235294117647,0.1578947368421052,Religador,Centro,Sim,0.2778951817413355,2022-05-30,2022,0.177015524366084
A-0022,0.25,0.0294117647058823,0.1578947368421052,Transformador,Zona Oeste,Sim,0.3045224006762468,2024-12-12,2024,0.17085471684781042
A-0023,0.125,0.0252100840336134,0.0,Seccionalizador,Zona Norte,Não,0.1373626373626373,2024-01-09,2024,0.07129928894634775
A-0024,0.375,0.1533613445378151,0.4736842105263157,Cabo,Zona Oeste,Não,0.4097633136094674,2021-03-18,2021,0.3317215768275545
A-0025,0.5,0.1827731092436975,0.0,Religador,Zona Oeste,Sim,0.3444632290786137,2022-06-20,2022,0.28927825568097065
A-0026,0.125,0.2310924369747899,0.4736842105263157,Seccionalizador,Centro,Não,0.1502535925612848,2015-11-02,2015,0.22908993245382858
