ID_Ativo,Frequencia_Falhas,Impacto_DEC_FEC,Numero_Clientes_Afetados,Ponderacao_Total,Criticidade_Matriz,Data_Inspecao,Condicao,Medicoes,Observacoes,Discrepancia,Ajustes_Propostos
A-0032,1.0,0.9953148335938596,0.0,0.7981259334375439,0.9572826034844386,,,,,,Manter
A-0032,1.0,0.995314833593524,0.0,0.7981259334374096,0.957282603484244,,,,,,Manter
A-0032,1.0,0.995314833593524,0.0,0.7981259334374096,0.957282603484244,,,,,,Manter
A-0047,0.8888888888888888,0.9213597271856162,0.1578947368421052,0.7556783937982231,0.8784822090191194,,,,,,Manter
A-0047,0.8888888888888888,0.921359727185616,0.1578947368421052,0.7556783937982231,0.8784822090191192,,,,,,Manter
A-0047,0.8888888888888888,0.921359727185036,0.1578947368421052,0.7556783937979911,0.8784822090187828,,,,,,Manter
A-0027,0.7777777777777778,0.9743222071183956,0.1578947368421052,0.7324189413268903,0.8669782251579092,,,,,,Manter
A-0027,0.7777777777777778,0.9743222071177124,0.1578947368421052,0.7324189413266172,0.866978225157513,,,,,,Manter
A-0027,0.7777777777777778,0.9743222071177124,0.1578947368421052,0.7324189413266172,0.866978225157513,,,,,,Manter
A-0004,0.6666666666666666,0.9086191197852054,0.4736842105263157,0.724851156686012,0.7992797912298051,,,,,,Manter
A-0004,0.6666666666666666,0.9086191197852054,0.4736842105263157,0.724851156686012,0.7992797912298051,,,,,,Manter
A-0004,0.6666666666666666,0.908619119784976,0.4736842105263157,0.7248511566859203,0.7992797912296721,,,,,,Manter
A-0063,0.7777777777777778,0.8307682203367903,0.1578947368421052,0.6749973466142484,0.7837169128245781,,,,,,Manter
A-0063,0.7777777777777778,0.8307682203364263,0.1578947368421052,0.6749973466141027,0.7837169128243671,,,,,,Manter
A-0063,0.7777777777777778,0.8307682203364263,0.1578947368421052,0.6749973466141027,0.7837169128243671,,,,,,Manter
A-0033,0.4444444444444444,0.9910824538284564,1.0,0.7742107593091603,0.7837167121093935,,,,,,Manter
A-0033,0.4444444444444444,0.9910824538275594,1.0,0.7742107593088017,0.7837167121088734,,,,,,Manter
A-0033,0.4444444444444444,0.9910824538275594,1.0,0.7742107593088017,0.7837167121088734,,,,,,Manter
A-0081,1.0,0.6842499419483064,0.1578947368421052,0.7052789241477436,0.783180755803702,,,,,,Manter
A-0081,1.0,0.6842499419480068,0.1578947368421052,0.7052789241476237,0.7831807558035281,,,,,,Manter
A-0081,1.0,0.6842499419480068,0.1578947368421052,0.7052789241476237,0.7831807558035281,,,,,,Manter
A-0090,0.7777777777777778,0.7660111409182041,1.0,0.8175155674783927,0.779842017288114,,,,,,Manter
A-0090,0.7777777777777778,0.7660111409182042,1.0,0.8175155674783927,0.779842017288114,,,,,,Manter
A-0090,0.7777777777777778,0.7660111409178431,1.0,0.8175155674782484,0.7798420172879046,,,,,,Manter
A-0043,0.5555555555555556,0.9432249611731452,0.1578947368421052,0.6310911540599013,0.7644973780652196,,,,,,Manter
A-0043,0.5555555555555556,0.9432249611731452,0.1578947368421052,0.6310911540599013,0.7644973780652196,,,,,,Manter
A-0043,0.5555555555555556,0.9432249611727056,0.1578947368421052,0.6310911540597255,0.7644973780649646,,,,,,Manter
A-0064,0.5555555555555556,0.9484179527238684,0.0526315789473684,0.6121157191012434,0.7632987868488496,,,,,,Manter
A-0064,0.5555555555555556,0.9484179527229598,0.0526315789473684,0.6121157191008799,0.7632987868483225,,,,,,Manter
A-0064,0.5555555555555556,0.9484179527229598,0.0526315789473684,0.6121157191008799,0.7632987868483225,,,,,,Manter
A-0001,0.6666666666666666,0.7911442265423199,1.0,0.7831243572835946,0.7521969847278789,,,,,,Manter
A-0001,0.6666666666666666,0.7911442265415537,1.0,0.7831243572832882,0.7521969847274346,,,,,,Manter
A-0001,0.6666666666666666,0.7911442265415537,1.0,0.7831243572832882,0.7521969847274346,,,,,,Manter
A-0050,0.5555555555555556,0.8607651912073946,1.0,0.76652829870518,0.7503549220114,,,,,,Manter
A-0050,0.5555555555555556,0.8607651912073946,1.0,0.76652829870518,0.7503549220114,,,,,,Manter
A-0050,0.5555555555555556,0.8607651912069813,1.0,0.7665282987050148,0.7503549220111603,,,,,,Manter
A-0066,0.4444444444444444,0.979966437768834,0.0526315789473684,0.5802906686747851,0.7393746859527073,,,,,,Manter
A-0066,0.4444444444444444,0.979966437768834,0.0526315789473684,0.5802906686747851,0.7393746859527073,,,,,,Manter
A-0066,0.4444444444444444,0.9799664377679888,0.0526315789473684,0.580290668674447,0.7393746859522171,,,,,,Manter
A-0053,0.4444444444444444,0.9503413530992466,0.1578947368421052,0.5894932663858975,0.7264026631601361,,,,,,Manter
A-0053,0.4444444444444444,0.9503413530992466,0.1578947368421052,0.5894932663858975,0.7264026631601361,,,,,,Manter
A-0053,0.4444444444444444,0.9503413530987836,0.1578947368421052,0.5894932663857123,0.7264026631598676,,,,,,Manter
A-0060,0.8888888888888888,0.6128373574274473,0.4736842105263157,0.6954273406317976,0.7121708135067499,,,,,,Manter
A-0060,0.8888888888888888,0.6128373574266573,0.4736842105263157,0.6954273406314816,0.7121708135062916,,,,,,Manter
A-0060,0.8888888888888888,0.6128373574266575,0.4736842105263157,0.6954273406314817,0.7121708135062916,,,,,,Manter
