ID_Ativo,Frequencia_Falhas,Impacto_DEC_FEC,Numero_Clientes_Afetados,Ponderacao_Total,Criticidade_Matriz,Data_Inspecao,Condicao,Medicoes,Observacoes,Discrepancia,Ajustes_Propostos
A-0032,1.0,0.9953148335938596,0.0,0.7981259334375439,0.9582196367656667,,,,,,Manter
A-0032,1.0,0.995314833593524,0.0,0.7981259334374096,0.9582196367655391,,,,,,Manter
A-0032,1.0,0.995314833593524,0.0,0.7981259334374096,0.9582196367655391,,,,,,Manter
A-0047,0.8888888888888888,0.9213597271856162,0.1578947368421052,0.7556783937982231,0.8719880413597739,,,,,,Manter
A-0047,0.8888888888888888,0.921359727185616,0.1578947368421052,0.7556783937982231,0.8719880413597738,,,,,,Manter
A-0047,0.8888888888888888,0.921359727185036,0.1578947368421052,0.7556783937979911,0.8719880413595534,,,,,,Manter
A-0081,1.0,0.6842499419483064,0.1578947368421052,0.7052789241477436,0.8463307674140407,,,,,,Manter
A-0081,1.0,0.6842499419480068,0.1578947368421052,0.7052789241476237,0.8463307674139268,,,,,,Manter
A-0081,1.0,0.6842499419480068,0.1578947368421052,0.7052789241476237,0.8463307674139268,,,,,,Manter
A-0027,0.7777777777777778,0.9743222071183956,0.1578947368421052,0.7324189413268903,0.8276693392897857,,,,,,Manter
A-0027,0.7777777777777778,0.9743222071177124,0.1578947368421052,0.7324189413266172,0.8276693392895261,,,,,,Manter
A-0027,0.7777777777777778,0.9743222071177124,0.1578947368421052,0.7324189413266172,0.8276693392895261,,,,,,Manter
A-0090,0.7777777777777778,0.7660111409182042,1.0,0.8175155674783927,0.7821953446600287,,,,,,Manter
A-0090,0.7777777777777778,0.7660111409182041,1.0,0.8175155674783927,0.7821953446600287,,,,,,Manter
A-0090,0.7777777777777778,0.7660111409178431,1.0,0.8175155674782484,0.7821953446598915,,,,,,Manter
A-0063,0.7777777777777778,0.8307682203367903,0.1578947368421052,0.6749973466142484,0.7731188243127757,,,,,,Manter
